Question,Choice1,Choice2,Choice3,Answer,Difficulty,Sort,,,,,,,
다음 중 '역류성 식도염'을 예방하기 위한 방법이 아닌 것은?,야식을 먹지 않는다,담배를 피지 않는다,침을 삼키지 않는다,3,2,◇시사/상식◇,,,,,,,
설화속에 존재하는 '무엇이든 넣기만 하면 계속 늘어나는 보물단지'는?,용린,보은박,화수분,3,3,◇시사/상식◇,,,,,,,
지상 5~7km 높이 대기권에 있는 고기압 때문에 더위가 심해지는 현상은?,열돔 현상,열섬 현상,열기구 현상,1,4,◇시사/상식◇,,,,,,,
다음 중 동물 '늑대'가 나오지 않는 영화는?,늑대의 유혹,늑대와 춤을,늑대의 후예들,1,4,◇시사/상식◇,,,,,,,
일반적으로 고양이 발바닥의 말랑말랑한 부분을 부르는 말은?,슬라임,젤리,캔디,2,3,◇시사/상식◇,,,,,,,
"일반적으로 자동차를 주차 한 후, 문을 열다가 옆 차를 찍는 것을 부르는 말은?",문 콕!,문 와장창!,문 쾅쾅파악!,1,2,◇시사/상식◇,,,,,,,
"둘리 주제곡 ""OO 타고 내려와~친구를 만났지만~"" 빈칸에 알맞은 가사는?",썰매,버스,빙하,3,2,◇시사/상식◇,,,,,,,
세계적으로 퇴출되고 있는 '플라스틱 빨대'의 친환경 대체품이 아닌 것은?,먹는 빨대,쇠파이프,종이 빨대,2,1,◇시사/상식◇,,,,,,,
우리나라의 국기는 태권도! 미국의 국기는 야구! 벨기에의 국기는?,축구,당구,체스,2,3,◇시사/상식◇,,,,,,,
다음 중 공주 신분이 아닌 사람은?,인어공주,백설공주,엄지공주,3,2,◇시사/상식◇,,,,,,,
그리스 신화에 나오는 신들 중 '음악의 신'은?,아폴론,아테네,아르테미스,1,3,◇시사/상식◇,,,,,,,
대한민국 소년법에서 '소년'은?,13세 미만,15세 미만,19세 미만,3,3,◇시사/상식◇,,,,,,,
사람의 이름을 딴 상이 아닌 것은?,그래미상,퓰리처상,노벨상,1,3,◇시사/상식◇,,,,,,,
다음 중 향수의 향이 아닌 것은?,머스크향,시트러스향,모기향,3,1,◇시사/상식◇,,,,,,,
"몹시 추운 시기는 혹한기, 몹시 더운 시기는?",몹더시,혹서기,사춘기,2,1,◇시사/상식◇,,,,,,,
야무지지 못하고 말이나 하는 짓이 답답한 사람을 놀림조로 이르는 말은?,맹꽁이,두꺼비,개구리,1,2,◇시사/상식◇,,,,,,,
다음 중 <복면가왕>에 '복면가수'로 출연하지 않았던 사람은?,신봉선,송민호,신고은,2,2,◇시사/상식◇,,,,,,,
다음 중 '솜을 두어 지은 바지'를 부르는 말은?,막바지,핫바지,이바지,2,4,◇시사/상식◇,,,,,,,
프랑스 혁명의 주체가 된 사람들은?,부르주아,부르마블,부르지마,1,3,◇시사/상식◇,,,,,,,
다음 중 국내 감별사 직업으로 없는 것은?,위조지폐 감별사,커피 감별사,비둘기 감별사,3,4,◇시사/상식◇,,,,,,,
축구에서 경기 도중 '쿨링브레이크'를 가질 수 있는 경우는?,너무 추울 때 ,너무 더울 때,바람이 거셀 때,2,3,◇시사/상식◇,,,,,,,
해버지' 박지성의 맨유시절 등번호는?,7번,13번,23번,2,2,◇시사/상식◇,,,,,,,
파운드케이크란 이름의 유래는?,가격이 1파운드이다,무게가 1파운드이다,재료가 1파운드 들어간다,3,4,◇시사/상식◇,,,,,,,
수영을 못하는 사람이 구명조끼가 없을 때 이용 할 수 있는 것은?,질소가 없는 과자봉지,구명조끼,질소 포장된 과자봉지,3,3,◇시사/상식◇,,,,,,,
바다의 카멜레온'으로 몸의 색을 기분에 따라 바꾸는 동물은?,문어,멍게,해파리,1,2,◇시사/상식◇,,,,,,,
다음 '반 고흐'의 작품 중 그가 살아있을 때 팔린 작품은?,아를의 붉은 포도밭,귀가 잘린 자화상,파리의 지붕들,1,4,◇시사/상식◇,,,,,,,
여전히 장롱면허를 가진 당신! 먼허 갱신은 몇 년 주기일까?,8년,10년,12년,2,4,◇시사/상식◇,,,,,,,
작은 걸음으로 가볍고 힘차게 걷는 모양'을 나타내는 순 우리말은?,발맘발맘,앙큼상큼,짜박짜박,2,4,◇시사/상식◇,,,,,,,
해외 사이트 물품 구매시 이용하는 '배대지'는 무엇의 줄임말일까?,내 배 되게 크지?,배송대행지,내 배 되게 작지?,2,2,◇시사/상식◇,,,,,,,
회사 면접을 보러 가는 당신! 다음중 면접용으로 적절한 옷은?,우비와 장화,롱패딩과 털모자,깔끔한 정장,3,1,◇시사/상식◇,,,,,,,
휴가를 보내는 방법 중 책과 관련 없는것은?,북케이션,북캉스,북한산 등반,3,1,◇시사/상식◇,,,,,,,
다음 중 건전지 규격 중 가장 크기가 큰것은?,AA,AAA,AAAA,1,2,◇시사/상식◇,,,,,,,
다음 중 '오랫동안 오던 비가 말끔히 갬' 이라는 뜻을 가진 단어는?,제출,신청,접수,2,4,◇시사/상식◇,,,,,,,
"다음 중 테니스, 축구 등 구기 종목에서 사용하는 비디오 판독 시스템은?",호크아이,이글아이,스위프트아이,1,3,◇시사/상식◇,,,,,,,
신생아기에 붙어 있던 탯줄이 떨어지면서 남은 흉터 부위는?,땀구멍,배꼽,씻을 수 없는 상처,2,1,◇시사/상식◇,,,,,,,
빅뱅 이론의 강력한 증거가 되는 '이것'은?,우주 배경 복사,우주 배경 붙여넣기,우주 배경 화면,1,2,◇시사/상식◇,,,,,,,
인터넷 상에서 신분을 확인하기 위해 쓰이지 않는 것은?,아이핀,공인인증서,호패,3,1,◇시사/상식◇,,,,,,,
흑인들은 머리를 땋거나 빡빡 밀지 않으면 두피가 상한다. 왜일까?,머리를 자주 감아서,피부가 약해서,곱슬머리가 심해서,3,2,◇시사/상식◇,,,,,,,
한 경기에서 가장 좋은 활약을 보여준 선수에게 주는 상 'MOM'은?,Man of the match,Man of man,Mommy Oh Mommy!,1,2,◇시사/상식◇,,,,,,,
아주 중요한 인물을 표현할때 VIP라고 하는데 이 'VIP'는 무엇의 약자일까?,Very Impress People,Very Interesting Person,Very Important Person,3,4,◇시사/상식◇,,,,,,,
다음 중 미국에서 저작권법의 보호를 가장 오랫동안 받고 있는 캐릭터는?,심바,미키마우스,도널드 덕,2,4,◇시사/상식◇,,,,,,,
선박 침몰 시 방출되지 않은 공기가 남아있는 공간을 칭하는 것은?,에어백,에어포켓,에어포스,2,3,◇시사/상식◇,,,,,,,
독일의 자동차 회사 메르세데스-벤츠의 '메르세데스'는 어디서 따왔을까?,자동차 딜러의 딸 이름,독일어 '자비로운',창업주 아내의 이름,1,4,◇시사/상식◇,,,,,,,
상대방의 말에 호응하거나 동의하는 것은?,맞짱,맞장구,다이다이,2,1,◇시사/상식◇,,,,,,,
아이들이 할 수 있는 놀이가 아닌 것은?,얼음땡,깡통차기,로또,3,1,◇시사/상식◇,,,,,,,
다음 중 바다 또는 호수에서 일어나는 물결을 부르는 말로 알맞은 것은?,빨강,파랑,노랑,2,2,◇시사/상식◇,,,,,,,
"개의 새끼는 강아지, 말의 새끼는 망아지, 호랑이의 새끼는?",개호주,아범,호랑지,1,4,◇시사/상식◇,,,,,,,
"전설 속에서, 쇠를 먹는다고 알려진 동물의 이름은?",불가사리,기린,해태,1,3,◇시사/상식◇,,,,,,,
코난 도일의 작품에 나오는 명탐정은?,김전일,왓슨 박사,셜록 홈스,3,3,◇시사/상식◇,,,,,,,
고대 아즈텍 문명에서 사용했던 주 화폐는?,파피루스,카카오빈,금은 동전,2,4,◇시사/상식◇,,,,,,,
다음 중 가장 마지막에 추가된 알파벳은?,I,J,Z,2,5,◇시사/상식◇,,,,,,,
[넌센스퀴즈] 호주의 화폐단위는?,미국 달러,호주머니,비트코인,2,3,◇시사/상식◇,,,,,,,
지은이가 확실하지 않고 오랫동안 남녀노소에게 불려진 노래는?,민요,힙합,락,1,1,◇시사/상식◇,,,,,,,
다음 중 지문이 있는 동물은?,개,원숭이,고양이,2,4,◇시사/상식◇,,,,,,,
"스피노자 왈! ""내일 지구의 종말이 와도 나는 한 그루의 OOOO를 심겠다."" 빈 칸은?",사과나무,벚꽃나무,대나무,1,3,◇시사/상식◇,,,,,,,
금속탐지기를 이용하여 숨어있는 금속을 찾는 취미를 일컫는 말은?,금속탐지,도굴,점유이탈물횡령,1,2,◇시사/상식◇,,,,,,,
"""관광객 오지마!"" 여행지의 원주민들이 관광객을 두려워하는 현상은?",이상한 현상,투어리즘 포비아,초자연 현상,2,3,◇시사/상식◇,,,,,,,
지구가 아닌 천체를 사람이 살 수 있는 환경으로 만드는 것을 일컫는 말은?,테라포밍,체인지업,그린벨트,1,3,◇시사/상식◇,,,,,,,
야외에서 밥을 먹으며 소풍하는 것을 뜻하는 단어는?,피크닉,핑크퐁,클리닉,1,3,◇시사/상식◇,,,,,,,
향기가 '후추'의 톡 쏘는 성질과 닮았다고 알려진 것은?,로즈마리,애플민트,페퍼민트,3,4,◇시사/상식◇,,,,,,,
다음 중 코카콜라를 공식적으로 판매하지 않는 나라는?,중국,북한,러시아,2,3,◇시사/상식◇,,,,,,,
속눈썹이 짙고 길어 보이도록 칠하는 화장품의 표준어는?,마! 스까라,마스카라,마다가스카르,2,2,◇시사/상식◇,,,,,,,
제주도로 '식도락 여행'을 떠난 김모씨가 먹으면 안되는 음식은?,제주산 주상절리,제주산 갈치,제주산 말고기,1,2,◇시사/상식◇,,,,,,,
"아시아', '토마토', '일요일' 처럼 거꾸로 해도 같은 말을 부르는 용어는?",동문,회문,반문,2,5,◇시사/상식◇,,,,,,,
다음 중 여의도보다 작은 나라는?,모나코,몰디브,몰타,1,5,◇시사/상식◇,,,,,,,
수면에 어려움을 겪는 상태를 부르는 말은?,수면장애,수영장,핵꿀잠,1,2,◇시사/상식◇,,,,,,,
양심적 병역거부자를 위한 복무제도는 무엇일까?,징역,군면제,대체복무제,3,2,◇시사/상식◇,,,,,,,
제주도는 여행객에게 세금을 받는 정책을 추진한다고 한다. 이 세금은?,상륙세,입도세,입장료,2,3,◇시사/상식◇,,,,,,,
다음 중 조선시대에 '커피'를 부르던 말은?,검은탕,고삐,양탕국,3,3,◇시사/상식◇,,,,,,,
고속도로에서 일어나는 원인모를 교통정체를 부르는 말은?,미스터리 정체,유령 정체,바보 정체,2,3,◇시사/상식◇,,,,,,,
"다음 중 마약 탐지, 인명 구조, 범인 추적을 할 수 있는 동물은?",게,반달가슴곰,개,3,2,◇시사/상식◇,,,,,,,
흡연이 불법인 비행기 내부에 재떨이가 설치된 장소가 있다. 어디일까?,화장실,승무원 침실,조종실,1,3,◇시사/상식◇,,,,,,,
다음 중 '만 23세 나이 제한'이 있는 축구 경기가 아닌 것은?,올림픽 축구,AFC 아시안컵,아시안게임 축구,2,3,◇시사/상식◇,,,,,,,
보행자 안전을 위한 '생활도로구역'의 자동차 제한 속도 기준은?,시속 20km,시속 30km,시속 40km,2,3,◇시사/상식◇,,,,,,,
"""달 달 무슨 달, OO같이 둥근 달"" 빈칸에 알맞은 동요 '달'의 가사는?",감쪽,쟁반,악착,2,1,◇시사/상식◇,,,,,,,
다음 중 사람의 손으로 길들인 매를 부르는 말은?,수지니,고으니,니코니코니~,1,3,◇시사/상식◇,,,,,,,
1999년 종말론'을 주장한 예언가는?,노가리,노스트라다무스,노라조,2,1,◇시사/상식◇,,,,,,,
아르헨티나 탱고음악 연주에 주로 사용되는 작은 손풍금의 이름은?,반도네온,가야금,멜로디언,1,4,◇시사/상식◇,,,,,,,
"동요 <햇빛은 쨍쨍>에서 ""햇볕은 쨍쨍, OOO은(는) 반짝"" 빈칸에 알맞은 가사는?",금니,모래알,인기,2,1,◇시사/상식◇,,,,,,,
2018년 하반기부터 '이것'을 마시고 자전거를 운전하면 처벌 받는다. 이것은?,공기,물,술,3,1,◇시사/상식◇,,,,,,,
