result,desc
0032.jpg,"진퇴양난, 사면초가에 빠지는 혼란스러운 날입니다.일을 안할 수도 할 수도 없는 어쩔 수 없는 날이어서 아주 힘든 날이 될 것입니다.그러나 피할 수 없으면 즐기란 말이 있듯이이럴때 일수록 차분하게, 신중하고 냉정하게 하나하나 일을 해결해 나가시는 것이 좋습니다.금전운역시 좋지 않습니다.수입보다 지출이 많아지고 돈을 잃어버린다거나 손해를 볼수 있습니다. 각별히 지갑조심을 하시기 바랍니다."
0033.jpg,일이나 사업의 진전이 없는 날입니다.자칫 지루해지고 우울해 질 수 있는 날이니기분전환을 위해서 취미생활을 해 본다든가 가볍게 바람을 쐬러 나가는 것도 좋습니다.금전운은 그저 그렇습니다.사업하는 분이라면 본전치기를 하는 날이라 할 수 있습니다.
0034.jpg,일이 빠르고 순조롭게 진행되는 날입니다.사업하는 분이라면 손님으로 문전성시를 이루는 날이니 준비를 철저히 하시는 것이 좋습니다.금전운은계획을 잘 세우고 대비를 잘 하신 분이라면 큰 돈을 벌 수 있는 좋은 날입니다.
0035.jpg,업무나 사업의 진도가 8부 능선까지 왔는데 오늘이 마지막 고비 입니다.지금이 가장 힘든때 이니조금만 더 참고 진행해 나가시면 좋은 결과를 얻을 수 있을 것입니다.오늘은 금전적으로는 아무 성과가 없는 날입니다. 오히려 손해가 나는 듯 해서 실망감이 커질 것입니다. 그러나 하늘의 시험입니다. 오늘만 넘기면 금전운이 좋아질 것입니다.
0036.jpg,사업을 하기에 가장 운이 좋은 날입니다. 빠르고 바쁘게 일이 돌아갈 때입니다.특히 영업 하거나 고객을 많이 만나는 분에게 좋은 날입니다.활동성이 좋은 날이니 준비된 역량을 마음껏 발휘하신다면 금전운 역시 좋아질 것입니다.그러나 수입도 많지만 지출도 많은 날입니다. 계획을 세워 소비를 하셔야 할 것입니다.
0037.jpg,너무 의욕이 강하여 자신의 능력보다 오버할 수 있는 날입니다.바쁘기만 하고 실속은 없을 수 있으니보다 차분하게 자신의 것을 챙기는 것이 좋습니다.금전운은 남좋은 일에 돈이 나갈 수 있습니다. 또한 과소비를 할 수 있는 날이니 계획을 세워서 지출을 하시는 것이 좋습니다.
0038.jpg,"바쁘게는 움직였지만 그에 비해 실속은 조금 있는 날입니다.만약, 새로운 사업을 구상중이라면 지금은 때가 아닙니다. 좀더 실력을 키워야 할 때입니다.금전운 역시 지금은 큰 돈이 벌릴때가 아니라 일한만큼의 댓가정도만 들어오는 때입니다. 자기 분수에 맞는 경제생활을 하는 것이 좋습니다."
0039.jpg,바쁘게 돌아다닐일이 생기고 직장이동수도 있는 날입니다. 그러나 수평이동이므로 승진을 바랬다거나 사업을 시작하려 한다면 아직은 아닙니다. 그렇지만 현실을 인정하고 자기 분수에 맞는 삶을 사신다면 무난하고 행복한 때라고 할 수 있습니다.금전운 역시 무난한 때입니다. 일한 만큼의 댓가가 들어오는 때입니다.
0040.jpg,"이동수가 있을 때입니다. 승진으로 이동하게 되고, 새로운 사업도 시작할 수 있는 때입니다.무척 바쁘고 빠르게 일이 진행되니 정신을 바짝 차려야 함은 물론 입니다.금전운역시 좋은 때입니다. 목돈이 들어올 수 있는 때입니다. 주식투자를 해도 좋은 때입니다."
0041.jpg,"문서운이 좋은 날입니다. 승진운, 합격운이 좋습니다 .또한 사업하는 분에게 가장 좋은 날이기도 합니다. 자신감도 넘치고 사업장도 바쁘게 돌아갈 것입니다. 재물도 만족스럽게 들어오는 날입니다."
0042.jpg,자신에게 맞는 것을 찾게 되는 날입니다.활동적인 운이기 보다는 자기개발을 위해서 차분하게 공부를 하거나 직장일을 하는 때입니다. 사업을 벌리기에는 좋지 못한 때입니다. 당분간은 좀더 정보를 수집하거나 내실을 기해야 할 것입니다.금전운은 무난하고 안정적인 날입니다. 자기 분수를 알고 성실하게 살아가는 분에게는 더 행복한 날이기도 할 것입니다.
0043.jpg,일하는데 있어서 아주 예민해지는 날입니다.주변 사람들과 트러블이 있을 수 있습니다.자신에게 맞지 않는 일만 주어질 수도 있고 억울한 일이 생길 수도 있는 힘든 하루가 될 수 있으니이럴때 일 수록 마음의 여유를 갖고 지내시길 바랍니다.
0044.jpg,"사람들에게 냉정하게 대했던 당신이라도 오늘은 대인관계가 좋아지는 날입니다.일이 술술 풀리는 날이기도 합니다.그동안 미뤄두었던 힘든 업무를 시작하기 좋겠고, 주변사람들의 도움을 받게 되기도 합니다.금전운은 직접적으로 돈이 들어오는 날은 아니지만 돈때문에 마음고생을 하는 날은 아니어서 편안하게 하루를 보낼 수 있을 것입니다."
0045.jpg,"현재 하는 일에 회의감이 느껴지거나 적성에 맞지 않는단 생각에관두고 싶은 마음도 드는 날입니다.업무도 진척이 안되서 예민해 질 것입니다.이럴때 일 수록 한 발 물러서서 잠시 일에서 손을 떼고 운동이나 산책을 다녀오는 것도 좋은 방법입니다.금전운은 역시 좋지 않습니다. 손해볼 수 있고, 과소비를 할 수 있습니다. 조심하시기 바랍니다."
0046.jpg,"일도 손에 잡히지 않고 안절부절 못하는 힘든 하루가 되겠습니다.자신이 뭘 원하는지도 혼란스럽고일에 대한 회의감도 많이 들지만아무것도 결정을 짓지 못하는 하루가 되겠습니다.판단이 서지 않는 날에 억지로 생각만 하고 고민만 한다고 해서 해결될 일은 없습니다. 오늘은 일단, 생각을 버리십시요. 생각을 버리고 자유롭게 자신으로 부터 떠나보시기 바랍니다. 새로운 해결방법이 떠오를 것입니다."
0047.jpg,"일을 하긴 하지만 의미도 못찾겠고, 재미도 없는 그저 그런 무미건조한 날입니다.일을 관두고 싶은 마음도 있지만 딱히 다른 대안이 있는 것도 아니어서 답답하기만 할 뿐입니다.의욕이 없이 일하니 금전운 역시 좋을 것은 없습니다. 그러나 손해보는 때는 아닙니다.이럴때는 돈을 투자하더라도 취미생활이나 공부를 해 보시는 것도 좋습니다. 삶의 또다른 재미를 느낄 수 있을 것입니다."
0048.jpg,"공부를 위해서 떠나고 싶은 마음이 드는 날입니다.직장인이라면 자신에게 맞는 공부를 시작해 보는 것도 좋고학생이라면 과감하게 공부를 위해 유학을 떠날 것을 계획해 보는 것도 좋습니다.사업가라면사업을 확장하기 보다는 문제점을 점검하고 앞으로의 계획을 철저히 세우는 날로 잡으시면 좋겠습니다.금전운은 손해는 보지 않지만, 영업의 이익은 크게나지는 않는 날입니다."
0049.jpg,프로젝트를 맡고 있다면 갑자기 혼란에 빠진다거나 아이디어가 더이상 떠오르지 않아서 많이 힘든 날입니다.사업가 역시 자신이 하고 있는 일에 대해서 회의감에 빠지는 날입니다.오늘은 미래나 진로에 대해서 당장 답을 구하려 하지말고 다음날 다시 생각해 보는 것이 좋습니다.금전운 역시 꼬이는 날입니다.돈이 들어올 곳이 있다 하더라도 감정싸움이 생길 수 있고 상대방의 상황이 안좋아져서 돈을 돌려받기 어려울 수 있습니다.
0050.jpg,"막혔던 아이디어가 떠오르는 날입니다. 수험생이라면 공부가 아주 잘 될 것입니다.집에서 보다는 도서관이나 야외가 더 잘 맞습니다.직장인이나 사업가라면, 자신이 하는 일에 있어서 완성도가 높아지는 날입니다.금전운은 좋습니다. 횡재수는 없지만 자기 분수에 맞는 수입이 들어오는 날입니다."
0051.jpg,운전을 하는 분에게는 위험한 하루가 될 수 있습니다.괜한 생각에 빠지게 된다거나 예민해져서 상대방과 다툼이 생기거나 사고가 생길 수 있는 운이니 조심하시기 바랍니다.금전운 역시 가만히 있으면 본전을 찾는 날인데예민하게 상대방을 건드린다거나 일을 꼬이게 만들어서 돈이 나갈 수 있는 날이니 조심하시기 바랍니다.
0052.jpg,"현재 하고 있는 일이 겨우겨우 진행이 되어 자신 스스로도 만족스럽지 못한 하루가 되겠습니다.자존심만 상해할 것이 아니라자신을 다시한번 돌아보는 계기로 삼는다면 나중에 더 발전할 수 있을 것입니다. 아직은 능력이 완성된 때가 아니기 때문입니다.금전운은, 손해는 보지 않고 겨우 본전치기를 하는 날입니다."
0053.jpg,하는 일에 만족도도 있고 무난하고 편안한 하루가 되겠습니다.금전운 역시 큰 돈이 들어오진 않지만 일한 것에 대한 댓가는 받는 날입니다.그러나 자기 분수를 모르고 일을 벌리려 한다거나 욕심만 많은 분은 만족스럽지 못하고 항상 조급할 것입니다. 당신은 현재 행복하신가요?
0054.jpg,자신이 하는 일에 인정을 받을 때입니다. 그렇다고 사업을 시작하는 때는 아닙니다. 아직은 2인자 이기때문입니다.지금은 내실을 기할때고 일인자가 되기 위해서 더욱더 노력해야 할 때입니다.금전운은 좋은 날입니다. 횡재수는 없지만 만족할 만큼의 댓가가 들어올 것입니다.
0055.jpg,"자신이 하고 있는 일에 완성을 이루는 날이라 할 정도로 자신감에 차는 하루가 되겠습니다.승진운과 합격운도 있는 날입니다.단, 승진후 타지역으로 발령이 난나거나 이동수가 있을 수 있습니다.금전운은 좋습니다. 목돈이 들어올 수 있습니다."
0100.jpg,이제야 돈을 벌기 시작하는 사회초년생 같은 때입니다. 마음이 안정되 있지 않고 꾸준함이 없어서 호기심에 차 있지만 금방 실증이 날 수도 있을 것입니다.마음을 다잡고 일에 임하시기 바랍니다.지금은 재물을 바랄때는 아닙니다. 성실하게 일한 자에게만 댓가가 들어올 것입니다.
0101.jpg,처음에는 돈을 벌수 있을 것 같은 기대에 일을 시작했다면 지금은 하는 일에 대해 만족하지 못하고 금전운 역시 불만족 스러운 때입니다.당장 금전이 들어오지 않으니 마음이 흔들려서 관두기도 쉬운 날입니다.그러나 섣불리 관두려는 마음을 갖는 것은 아닌지 신중하게 생각해 봐야 할 것입니다. 한가지 일에 꾸준하지 못함때문에 금전운이나 직업운이 좋지 않은 것은 아닌지요? 조금만 더 끈기를 가지고 성실하게 일하신다면 결과는 반드시 얻을 것입니다.
0102.jpg,"일시적으로 돈이 들어오는 날입니다. 직장운도 일시적으로 좋아지는 때입니다. 단기간으로 이익을 내는 대는 좋습니다.그러나 진지한 마음이 아니어서 금방 실증을 느낄 수도 있습니다. 꾸준히 일을 하려는 마음을 먹어야 할 것입니다.자칫하면 직장을 관둘 수도 있고, 직업이 자꾸 바뀔 수도 있습니다. 그렇게 되면 좋았던 금전운 역시 안정되지 못할 것입니다."
0103.jpg,일을 만만히 보고 시작했다가는 고생을 좀 할 수 있는 날입니다.고생은 고생대로 하고 금전적인 손해는 손해대로 보는 힘든 날이지만그래도 경험을 쌓을 수 있는 소중한 날이기도 합니다.성과가 당장 없다고 해서 금방 실망하지 말고 좀더 꾸준히 끈기를 갖고 일을 해 나가야 할 때입니다.
0104.jpg,사업이나 공적인 일 보다는 사적인 일에 마음이 가는 날입니다.그렇게 되면 금전적인 손해는 손해대로 보고사적인 일도 좋게 마무리를 짓지 못해 헛수고만 할 수 있습니다.또한 마음이 떠 있어서 한가지 일을 꾸준히 하지 못하게 되고 그에 따라 경제적으로 더욱더 힘들어질 수가 있으니 마음을 다잡고 현재의 일에 충실하시기 바랍니다.
0105.jpg,현재 하는 일을 만만하게 봤다가 낭패를 볼수 있는 날입니다.가벼운 사람이란 소리를 들을 수 있고 자존심이 상할 수 있는 위험한 날이니 만큼보다 신중하게 일에 임하시는 것이 좋습니다.한우물을 파지 못하고 이것 저것 해보려는 마음이 있다면 경제적인 안정은 그만큼 늦어질 것입니다. 자기 분수를 알고 현실에 충실한 자만이 금전운도 좋을 것입니다.
0106.jpg,돈이 생각보다 쉽게 벌리는 날입니다.그렇다고 너무 방심하지 마시기 바랍니다. 우연찮게 들어온 돈이므로 나가기도 쉬울 수 있습니다. 또한 금전운이 좋아지면 좋아질 수록 다른 일을 벌려볼 생각도 들 것입니다. 그렇게 되면 경제적인 안정은 힘들 것입니다. 자기 분수를 알고 능력에 맞는 일을 하는 것이 최선일 것입니다.
0107.jpg,뜻밖에 친구나 지인에게 돈을 빌려달라는 요청을 받거나 돈이 나갈일이 생기는 날입니다.회수할 수 있을 것이란 가벼운 생각에 빌려줬다가는 나중에 후회할 일이 생길 수 있으니 금전 단속을 잘하시길 바랍니다.또한 이것 저것 해보고 싶은 것이 많아서 한 우물을 파기 힘들 수 있습니다. 그렇다면 점점 더 돈은 나가게 되고 경제적으로 힘들어질 수 밖에 없을 것입니다. 한 우물을 파려는 마음을 갖는것이 중요할때입니다.
0108.jpg,쉽게 돈이 벌리는 날입니다. 우연찮게 돈이 들어오기도 할 것입니다. 그러나 쉽게 벌리는 만큼 쉽게 나갈 수도 있는 날입니다. 과소비를 할 수 있으니 조심하시기 바랍니다.현재 하는 일이 당장은 괜찮은 것 같지만 조금만 위기가 와도 끈기가 없어서 버티기 힘들 수 있습니다. 오늘 당장만 즐거워 할 것이 아니라 미래도 철저히 대비하시기 바랍니다.
0109.jpg,뜻하지 않게 눈먼 돈이 들어올 수 있는 날입니다.하지만 세상에 공짜는 없으므로 그보다 더 많이 나갈 수 있다는 것을 명심하고 금전조심을 하시기 바랍니다. 또는 도박이나 유흥에 빠질 수도 있습니다. 무리하게 주식투자를 할 수도 있습니다. 하지만 일시적으로는 이익이 날지 몰라도 결국에는 손해를 볼 수 있으니 조심하시기 바랍니다.또한 직장일 보다는 사적인 일에 관심을 더 많이 가지게 되어 결과적으로 경제적인 안정은 더욱더 힘들어질 수 있을 것입니다. 자기 분수에 맞는 삶을 살도록 노력해야 할 것입니다.
0110.jpg,"그럭저럭 돈이 들어오긴 하지만 현재 하고 있는 일에 대해서 마음이 떠나기가 쉬운 하루 입니다.다른 것을 해 볼까,, 하는 마음이 들지만 아직은 딱히 새로운 일에 대한 구체적인 구상은 없을 것입니다. 이것 저것 해보려는 마음만 갖다보면 현실을 부정하고 현재 하는 일에 소홀할 수 밖에 없을 것이고, 경제적으로는 더욱더 힘들어 질 수밖에 없을 것입니다. 직업을 바꾸려 하기 보다는 자기 현실과 분수를 정확히 알고 실력을 개발하는 것이 우선일 것입니다."
0111.jpg,현재 하고 있는 일이 금전적으로 무난하고 괜찮음에도 불구하고 자꾸 다른 일이 하고 싶어지겠습니다. 그러나 아직은 현재의 일을 끝낼 때는 아닙니다.현재 하는 일에 대해서 완성을 볼때까지 전념하시는 것이 어떨지요?한우물을 파는 자만이 진정으로 재물을 크게 가질 수 있을 것입니다.
0112.jpg,현재 하고 있는 일이 금전적으로도 안정되고 일도 잘 풀리는 날이 되겠습니다.하지만 어느정도 완성이 됐다고 해서마음은 벌써 다른 것을 꿈꾸게 될 수 있습니다.하지만 한 우물을 파는 자가 성공하기 쉽습니다.현재 하고 있는 일에 더 집중하여 일인자가 될때까지 노력하는 하루가 되시길 바랍니다.
0113.jpg,일시적으로 큰 돈이 들어올 수 있는 날입니다.그러나 만족하지 않고 무리하게 더 투자를 할 수 있어서 오히려 큰 돈이 나갈 수도 있습니다.일시적으로 귀인의 도움을 받는 날이기도 합니다. 그러나 일시적인 운이므로 경제적인 안정이 되기는 힘들 것입니다. 또한 다른 일에 대한 유혹을 받는 날이기도 합니다. 마음이 안정이 안되고 자꾸 다른 것을 해 보고 싶은 마음이 들겠습니다. 무엇보다 중요한 것은 한 우물을 판 자만이 진정으로 행복하고 금전운도 좋아질 것이라는 점입니다.
