result,desc
0017.jpg,"연인과 갈등이 많아지는 때입니다. 기대했던 것과 달리 사랑을 받고 있지 않는 다는 생각을 하게 되고, 당신 역시 결별을 생각하게 될 것입니다. 그러나 아직은 헤어질 단계는 아닙니다. 두 사람이 함께 일궈갈 사랑이 많이 남아있기 때문입니다. 서로를 다 모르기에 오해도 생기는 것입니다. 사랑도 좋지만 쏘울 메이트 처럼 상대방에 대해서 이해하고 배려하려는 마음을 갖어 보신다면 훨씬 더 관계가 좋아질 것입니다."
0018.jpg,연인간의 갈등이 최고조에 달하는 날입니다.헤어지지도 못하고 시작하지도 못하는 날이어서대화도 되지 않는 날이고 오히려 꼬이기만 하는 날이므로되도록이면 데이트를 다음날로 미루는 것이 좋습니다.오늘은 어떤 결정도 하지 못하는 날이므로 차라리 친구를 만나서 맛있는 음식을 먹으면서 시간을 보내는 것도 나쁘지는 않을 것입니다.
0019.jpg,"연인과 데이트를 한다 해도 재미없고 무덤덤하게 보낼 수 있는 날입니다.권태기를 느낄 수 있고, 자칫하면 헤어짐을 생각할 수도 있습니다. 기분이 가라앉는 날이므로 차분하고 조용한 데이트 보다는 신나고 즐거운 일을 만드는 것이 필요한 때입니다. 놀이공원에 간다든가 처음 만났던 장소에 다시 가 보는 것도 기분전환을 위해서 좋은 방법이 아닐까 합니다."
0020.jpg,애정운이 좋은 날입니다.서먹서먹한 이성관계가 있다거나 연인과 헤어질 위기에 있었다면 다시 친해질 좋은 날입니다.오늘은 당신이 먼저 연락을 해 보시는 것이 어떤가요?쏠로 역시 애정운이 좋습니다. 적극적으로 데이트를 하려 노력하시기 바랍니다. 멋진 이성을 만날 수 있을 것입니다.
0021.jpg,오랫동안 묵혀왔던 갈등이 겉으로 드러나서 다툼으로 이어지게 되고 자칫 이별수도 있을 때입니다.오늘은 누구를 만나도 감정싸움을 할 수 있는 안좋은 날입니다.되도록이면 데이트는 다음날로 미루는 것이 좋습니다.조용히 자기를 돌아보면서 감정을 차분하게 가라앉히는 것이 좋겠습니다.
0022.jpg,"여행지에서나 뜻밖의 곳에서 이성을 만날 수 있는 날입니다.헤어질 위기에 있던 연인 사이라면 다시 화해가 되는 날이기도 합니다.애정운이 좋고, 역동적인 기운이 감도는 날입니다. 이런날은 집에 있지 말고밖에 나가서 젊음을 느끼고 맘껏 감성을 발산하시기 바랍니다."
0023.jpg,"현재 사귀고 있는 이성이 있다 하더라도 다른 사람에게 마음을 뺏기는 날입니다.유흥에 빠질 수도 있고, 이성과 부적절한 만남을 가질 수도 있습니다. 금전적인 손실도 있을 수 있습니다. 순간의 유혹에 빠져서 나중에 후회하지 말고 마음단속을 잘 해야 할 것입니다."
0024.jpg,현재 만나는 이성이 양에 차지 않아서 이별을 생각하게 되는 때입니다. 그러나 헤어지려는 마음을 가졌더라도 마음이 약해져서 헤어지지 못하고 흐지부지 만나게 되는 날이기도 합니다.새롭게 만남을 가지려는 사람 역시자신감 있게 대쉬하지 못하여 계획이 실패로 돌아갈 수 있으니용기를 갖고 데이트를 하시기 바랍니다.
0025.jpg,만나고 있는 이성과 사랑하는 감정이 있기는 하지만 크게 매력을 느끼지 못해서 헤어지려는 생각도 갖게 되는 때입니다. 더 끌리는 매력적인 이성을 만나서 새출발하고 싶은 마음이 들기 때문입니다. 그러나 막상 헤어지기는 힘들 것입니다. 아직은 헤어질정도로 싫어하는 사이가 아니기 때문입니다. 헤어질때 헤어지더라도 만나는 순간까지는 서로에게 충실하고 남아있는 감정을 다 써야 하지 않을까요?
0026.jpg,현재 만나고 있는 이성에게서 사랑을 확인하기 힘들어서 이별을 결심하게 되는때입니다.그러나 사실은 당신을 많이 사랑하고 있는데 우유부단 해서 사랑의 표현을 잘 못하는 것일 수 있습니다. 당신이 먼저 상대방을 인정해주고 사랑한다는 표현을 한다면 반드시 당신에게 큰 사랑이 되서 돌아올 것입니다.새롭게 만나는 이성역시 너무 온순해서 속마음을 잘 모를 수 있습니다. 당신이 먼저 적극성을 보여서 붙잡으시기 바랍니다. 착하고 성실한 사람이기 때문입니다.
0027.jpg,멋진 이성을 만나게 되는 날입니다. 그러나 자존심이 강한 분이어서 사랑하는 감정을 표현하지 않을 수도 있습니다.당신이 먼저 적극적으로 다가가는 것이 좋습니다. 자칫하면 서로 자존심을 부리다 이별할 수 있기 때문입니다.분위기 좋은 곳에 가서 데이트를 한다거나 감정을 솔직하게 보여준다면 좋은 관계로 발전할 수 있을 것입니다.
0028.jpg,"현재 쏠로라면 새로운 인연을 만나는 날이고, 연인 사이라면 새로운 인연을 찾아서 새출발을 하게 되니 반대로 이별수가 있는 날입니다. 여행지에서 새로운 사람을 만날 수도 있습니다. 하지만 오래가는 인연인지는 아직은 확신이 없겠습니다.오늘은 누군가와 새롭게 만나는 날이지 결실을 맺는 날은 아니기 때문입니다."
0029.jpg,새로운 사람을 만나려 해도 만남이 취소된다거나 만난다 하더라도 좋지 않게 끝날 수 있습니다.데이트도 멀리 가지 말고 가까운 곳에서 가볍게 만나는 것이 좋습니다.또한 연인간에 의도하지 않게 이별할 수도 있으니되도록이면 상대방에게 실수하지 말고 예의를 지키면서 만나야 할 것입니다.
0030.jpg,즐겁게 데이트를 하며 보낼 수 날입니다. 헤어질 위기에 있는 연인이라도 다시 만나게 되는 때입니다. 그러므로 연인과 이별여행을 가는 것도 좋습니다.돌아올때는 더 사랑하는 사이가 되 있을 것입니다.새로운 이성을 만나기도 좋은 날이니 적극적으로 소개팅을 받아보는 것도 좋을 것입니다.
0031.jpg,연인끼리 대화가 안된다거나 막막해 지는 날입니다.자칫하면 헤어질 위기도 맞겠습니다. 이럴때 일 수록 조심스럽게 서로 매너를 지키며 지내야 할 것입니다. 소개팅 역시 다음날로 미루는 것이 좋습니다.오늘은 이별하는 날이지 새로운 사람을 만나는 날은 아니기 때문입니다.
0032.jpg,"헤어져야 할지 계속 만나야 할지 혼란스러워지지만, 어떤 결정도 하지 못하는 날입니다.처음 만날때의 이유를 다시한번 생각해 보시고 , 서로 사랑하는 감정이 남아있는지 신중하게 판단해 보시기 바랍니다. 오늘은 이별수가 있는 날이므로 새로운 인연을 만나는 것은 좋지않습니다. 다음날로 미루는 것이 좋겠습니다."
0033.jpg,만나는 사람이 있다고 해도 더이상 진전이 안되고 답답하고 애매하게만 흘러가는 날입니다.오늘 데이트 약속이 있다면사전에 철저히 계획을 세워서 즐거운 일을 만들어 나가야할 것입니다.소개팅을 하는 날이라면좀더 적극적이고 열린 마음을 갖도록 다시한번 다짐을 하고 나가는 것이 좋습니다.
0034.jpg,만난지 얼마 되지 않은 연인이라도 급격하게 친해지는 날입니다.어색한 사이라면 오늘 만나서 상대방의 마음을 잡으시기 바랍니다.두 분이 멀리 여행을 가는 것도 좋은 날입니다.드라이브 하기에 아주 좋은 날입니다.
0035.jpg,오래된 연인이라면 더이상 발전이 없을 것 같아서 헤어짐을 생각하게 하는 우울한 날입니다.또한 연인끼리 서로 멀리 떨어질 일도 생기겠습니다. 현실적인 장벽을 넘지 못해서 이별할 수도 있을 것입니다. 이별수가 넘치는 날입니다. 정말 사랑하는 연인만이 이 고비를 넘을 수 있을 것입니다.
0036.jpg,"새출발하기에 좋은 때입니다. 헤어질 것 같은 연인도 다시 만날 수 있는 날입니다.역동적이고 신나는 날이므로 연인과 멀리 여행을 떠나는 것도 좋습니다.또한, 사적이고 조용한 만남보다는 공적이고 여러사람을 만나는 때입니다. 여러 사람을 만나는 가운데 좋은 인연을 만날 수도 있습니다."
0037.jpg,"별것도 아닌 일로 다툼이 생겨서 헤어질 수 있는 날입니다.감정이 격해지는 날이니 아주 조심하셔야 합니다.유흥에 빠질 수도 있고, 술도 과하게 마실 수 있는 날입니다.나중에 후회하지 않도록 차분하게 행동하고, 감정조절을 하시는 것이 좋습니다."
0038.jpg,현재 만나는 이성이 양에 차지 않아서 헤어질 결심을 하게 되는 때입니다. 또한 새로운 이성을 만날 수는 있는 때이기는 하지만 양에 차지 않아서 만남을 시작해야 할지 말아야 할지 고민을 하게 되는 때입니다. 그러나 상대방은 그리 만만한 사람은 아닙니다. 나름대로 최선을 다하려는 마음을 갖고 있기 때문입니다. 조금만 더 열린 마음으로 상대방을 바라보려 노력해 보시기 바랍니다.
0039.jpg,"연인과 멀리 떨어질 수 있습니다. 몸의 거리가 멀어질 수도 있고, 마음의 거리가 멀어질 수도 있습니다. 하지만 완전히 헤어지는 때는 아닙니다. 서로 멀리 떨어지게 되니 그리워지게 되고, 서로의 존재감에 대해 중요하게 생각하기 때문입니다.반면, 현재 쏠로인 사람은 괜찮은 이성을 만날 수 있는 날입니다."
0040.jpg,결혼을 생각할 정도로 괜찮은 이성을 만날 수 있는 날입니다.그러나 현재 결혼을 추진중이라면 오히려 헤어질 위기도 맞겠습니다. 서로 조금씩 양보하고 믿어주는 마음이 필요한 때입니다. 또한 오래된 연인이라면 헤어짐을 생각할 수도 있을 것입니다. 하지만 상대방 보다 더 괜찮은 사람을 만나기는 힘들 것입니다. 다시한번 신중하게 생각하고 결정을 하셔야 할 것입니다.
0041.jpg,좋은 분을 만나긴 했지만상대방이 너무 세게 나오거나 자존심을 부리는 날입니다.자칫하면 자존심싸움으로 번져서 헤어질 위기도 맞겠습니다. 그러나 헤어지기에는 너무 괜찮은 사람들이니이럴때는 오늘만큼은 당신이 먼저 양보를 하여 사랑을 지켜나가시기 바랍니다.
0042.jpg,"연인사이라 하더라도 친구처럼 편안하게 지내는 날입니다. 너무 편안하다 보니 감정이 없는 것 같아서 이별을 생각할 수도 있을 것입니다.새롭게 만나는 이성이라도 감정이 생기기 보다는 친구처럼 편안하게만 느껴지는 날입니다.그러다 시기를 놓쳐서 이별 할 수도 있을 것이고, 나중에 후회할 수도 있을 것입니다. 너무 늦지 않게 적극적으로 다가가거나 자신의 마음을 솔직하게 드러내보는 것이 좋겠습니다."
0043.jpg,현재 만나는 이성과 성격이 맞지 않는 것을 느끼게 되고 급기야는 이별수도 있는 때입니다.아주 예민해져서 의견다툼이 생길 수 있는 힘든 날입니다.오늘은 차라리 데이트를 하지 말고혼자 영화를 본다거나 음악 감상을 하는 등 생각을 비우는 시간을 갖어 보는 것도 좋겠습니다.
0044.jpg,오해가 생겨서 멀어졌던 연인이라도 오늘 만난다면 화해할 수 있는 날입니다.이성 뿐 아니라 멀어졌던 친구와도 재회할 수 있는 때입니다.그러나 친구처럼 편안한 만남이 이루어는 날이므로 연인으로 발전하기는 힘든 날이 될 수도 있습니다.
0045.jpg,오늘은 누구를 만난다고 해도 서로의 고집때문에 잘 지내기가 힘든 날입니다.성격차이를 심하게 느끼겠습니다. 상대방이 나에게 맞추기를 바라고 계신가요? 하지만 당신이 먼저 상대방에게 맞추려 노력하는 것이 훨씬 더 빠르고 쉬운 길입니다.
0046.jpg,서로간의 갈등의 골이 깊어져가지만어떤 쪽으로 해결을 해야할지 혼란스럽기만 할 대입니다. 잘 안다고 생각했던 상대방의 마음도 의심이 들 것입니다.하지만 더이상 자신의 생각에만 빠지지 말고 한발 뒤로 물러서서 서로에 대해서 객관적으로 관망을 해 보는 것이 좋습니다. 상대방의 성격때문에 힘들었다지만 당신 역시 상대방을 힘들게 하고 있다는 것을 알게 될 것입니다.
0047.jpg,"만난지 얼마되지 않은 커플이라도 오래된 연인 처럼 권태기를 느낄 수 있는 날입니다.사랑하는 감정이 없는 것 같아서 헤어질 수도 있을 것입니다. 만나서 차마시고 영화보고, 술마시는 데이트는 그만하시고 의미를 찾을 수 있는 일을 만들어 보시기 바랍니다.두 사람이 같이 즐길 수 있는 취미생활을 시작해 보시는 것은 어떤가요?"
0048.jpg,"연인이라면 서로에 대해 오해가 풀리고 가까워지는 날이라 할 수 있습니다. 쏘울 메이트 처럼 편안하고 서로를 이해해주는 사이가 될 수 있습니다. 우정운이 좋아지는 때입니다. 그러므로새롭게 출발하려는 이성이 있다면 , 서로의 공통 관심사를 만들어 간다거나 좋은 책을 선물한다거나 보다 지적인 대화로 상대방에게 호감을 사는 것도 좋은 방법일 것입니다."
0049.jpg,"상대방과의 의견다툼이 최고조에 달하는,갈등이 아주 심한 날이 되겠습니다. 급기야는 이별할 수도 있습니다.이런 날은 차라리 만나지 말고 다음으로 미루는 것이 좋습니다.잠시 떨어져서 서로에 대해 다시 생각해 보고, 꼭 헤어져야만 하는 이유를 찾아보는 것도 나쁘지 않을 것입니다."
0050.jpg,쏘울 메이트 같이 절친한 사이가 되는 날입니다.서로를 믿고 인정받는 날입니다.서로 같은 취미생활을 한다거나 같이 공부를 하는 것도 좋을 때입니다. 그러나 자칫 너무 편안하여 이성간의 매력이나 호기심이 사라질 수도 있을 수 있습니다. 매력을 감춰두고 조금씩은 밀고 당기기도 해야 오래가는 커플이 되지 않을까요?
0051.jpg,"상대방을 필요이상으로 의심한다거나 , 상대방 역시 당신을 의심할 수 있는 날이 되겠습니다.서로 사랑했으니 그것으로 끝은 아닙니다. 신뢰가 바탕이 되지 않는 사랑은 언제 깨질 지 모르는 유리와 같습니다. 사랑에 영양분을 주어야 하는 때입니다. 믿음이란 영양분을 말이지요.믿음 역시 존중이란 영양분이 필요합니다. 상대방을 존중해야 믿음이 생기고 믿음이 생겨야 사랑 역시 탄탄해 질 것입니다."
0052.jpg,상대방이 점점 만만하게 느껴지는 날입니다.자칫하면 상대방의 자존심을 건드릴 수도 있습니다.친한 연인사이일 수록 예의를 갖추고 존중하며 만나야할 것입니다.그렇지 않으면 오래가지 못해서 헤어질 수도 있을 것입니다.
0053.jpg,"현재 만나는 이성이 있다해도 친구같은 편안한 사이가 되겠습니다. 그러나 너무 편안한 나머지 자칫하면 이성간의 매력을 느끼지 못해서 헤어질 수도 있을 것입니다. 서로 사랑하는 감정이 있는지 , 얼굴을 보면 설레이는 마음이 드는지, 설레이진 않지만 없어서는 안되는 쏘울 메이트 인지,,자신의 감정에 솔직하게 귀를 기울여 봐야할 때입니다."
0054.jpg,현재 만나는 이성이 있다면 서로에게 의지가 될 수 있는 좋은 날입니다.가볍게 여행을 떠난다거나 같이 취미생활을 한다면 더 친해 질 수 있을 것입니다.그러나 이미 깊은 연인사이라면 이별수가 있는 날이기도 합니다. 친구인지 연인인지 헷갈리는 감정 때문입니다. 그러나 서로를 믿고 의지하고 배려하는 쏘울 메이트 같은 사이로 지내는 것도 나쁘지는 않을 것입니다.
0055.jpg,좋은 분을 만나고 있긴 하지만서로간에 자존심을 내세워서 자칫하면냉정한 관계로 될 수 있는 날입니다.정말 상대방을 사랑한다면 오늘은 당신이 먼저 자존심을 굽히고 솔직하게 감정을 보여주어야 할 것입니다. 자칫 이별할 수 있기 때문입니다.
0100.jpg,"상대방의 외모나 조건이 마음에 들어서 사귀어 볼까,, 하는 마음이 있지만다음날이 되면 금방 실증을 느낄 수도 있을 것입니다.진심으로 사랑하는 마음은 결여되 있기 때문입니다.그러므로 너무 쉽게 결정하기 보다는 진심으로 사랑하는 마음인지 신중하게 판단해야할 것입니다."
0101.jpg,상대방이 양에는 차지 않지만 가볍게 만나보려는 마음에서 데이트 정도를 하는 날입니다. 그러나 진심으로 사랑하는 마음이 결여되 있기 때문에 결국에는 오래가지 못할 수 있습니다.또한 현재 만나는 이성이 양에 차지 않아서 다른 이성에게 관심을 보이게 되는때이기도 합니다.그러나 누구를 만나도 즐겁지가 않고 쉽게 질리는 때입니다. 이 모두가 책임감 있게 사귀려는 마음 보다는 가벼운 마음이거나 조건적인 만남만 생각하기 때문이 아닐까요?
0102.jpg,외적인 조건은 괜찮은 듯 하여 만남을 갖게 되지만 생각보다 자신과 잘 맞지 않는 타입인 것을 발견하게 될 수 있습니다. 또한 진심으로 사랑하는 마음이 없으니 쉽게 권태기를 느끼게 되고한 사람에게 충실하지 못하고 이 사람 저사람을 바꿔서 만나게 될 수 있습니다.조건만 중시하다 보니 생기는 폐단일 것입니다. 사랑은 조건이 아니라 진심어린 마음이지요.
0103.jpg,"현재 만나는 이성과 현실적인 장벽이나 조건이 맞지 않아서 다른 사람을 찾게 되는 때입니다.그러나 다른 이성 역시 마음에 드는 사람을 만나기는 힘들 때입니다. 그러다 보니 한 사람을 오래 만나지 못하고 짧은 만남만 이어질 수 있습니다. 사람을 조건으로만 판단하려는 마음때문은 아닌지요. 가볍게 즐기려는 마음보다는 서로아끼고 배려하고, 외로움을 감싸줄 수 있는 따뜻한 만남을 가지려 노력해야 할 때입니다."
0104.jpg,"현재 만나는 이성과 현실적인 조건이나 장벽때문에 혼란스러워지는 때입니다.사랑하는 감정이 남아있는지, 현실을 중시해야 하는지 판단이 서지 않게 됩니다.그러다 보니 다른 이성을 만나보려는 마음도 생길것입니다. 조건도 물론 중요하지만 무엇보다 기본이 되어야 하는 것은 진심어린 사랑이 아닐까요? 당신은 현재 누구를 진심으로 사랑하고 계신가요?"
0105.jpg,"현재 만나는 이성과 권태기를 느껴서 새로운 이성을 만나고 싶은 마음이 드는 때입니다.그러나 새로운 이성을 만난다 해도 양에 차지 않기도 하고 감정도 생기지 않는 지루한 날입니다.이럴때 일수록 연인에게 선물을 해 보시는 것은 어떤가요? 물질이 있는 곳에 마음이 있다는 속담이 있듯이 , 선물은 식어가는 감성을 일깨울 수 있을 것입니다."
0106.jpg,"뜻하지 않게 즐거운 일이 생길 수 있는 날입니다.매력적인 이성을 만나서 데이트를 즐길 수도 있습니다.그러나 순수한 감정은 아니어서 오래가는 사이는 되지 못할 수 있습니다.또한 현재 만나는 이성끼리 선물을 주고 받을 수도 있고, 금전적인 도움을 받을 수도 있습니다.오늘은 가벼운 마음으로 데이트를 즐기시기 바랍니다."
0107.jpg,"가벼운 마음으로 데이트를 나갔다가 뜻밖에 손해를 볼수 있는 하루입니다.상대방이 정말 믿을 만한 사람인지 신중하게 판단한 다음에 데이트를 즐기시기 바랍니다.또한 현재 만나는 이성이 있다면 현실적인 장벽때문에 헤어지려는 마음이 들기도 하고, 다른 이성을 만나보려는 마음도 들 때입니다. 마음 단속을 잘 하시기 바랍니다."
0108.jpg,이성과 즐겁게 데이트는 하는 날입니다. 비싼 선물을 받을 수도 있는 날입니다.환심을 사려는 마음일 수도 있으니 너무 좋아하지만 말고 진심으로 좋아하는 마음이 있는지는 점검해 보아야 할 것입니다.또한 현재 사귀는 이성보다는 다른 사람에게 마음이 뺏길 수도 있는 날입니다. 마음단속을 잘 하시기 바랍니다.
0109.jpg,우연히 매력적인 이성을 만나서 즐기게 되는 날입니다.그러나 순수한 마음보다는 성적인 매력에만 빠질 수 있으므로 조심해야 할 것입니다. 바람이 날 수도 있기 때문입니다.유흥에 빠질 수도 있는 때입니다. 물론 가볍게 즐기는 것이야 문제가 없겠지만 절제가 필요할 때입니다.
0110.jpg,상대방이 양에 차지 않아서 다른 사람에게 눈길이 가는 하루가 되겠습니다.그러나 다른 이성을 만난다 해도 모두 양에 차지 않게 되어서 한 사람에게 마음을 주지못하게만 될 뿐입니다. 쉽게 실증이 나는 때라 할 수 있습니다. 그러나 이 모두가 진심으로 사랑하는 마음이 없어서 생기는 문제이지요. 당신은 현재 진심으로 사랑하고 계신가요?
0111.jpg,"현재 만나고 있는 분이 무난한 분이지만 특별한 감정은 잘 생기지 않는 날이 되겠습니다.그러다 보니 다른 사람에게 눈길이 갈 수도 있는 때입니다.서로에 대해서 속속들이 알지 못하기 때문일 수도 있습니다.서로를 잘 이해할 수 있는 공통관심사를 만들어 보거나, 상대방의 취미 생활에 동참해 보는 것도 좋은 방법일 것입니다."
0112.jpg,아주 괜찮은 이성을 만나는 날입니다.현실적으로도 야무지고 성숙한 사람이고 조건도 좋은 분이라 할 수 있습니다.그런 반면 님은 일탈을 꿈꾸게 된다고 합니다. 바람을 피울 수 있는 날이기도 하니마음단속을 잘 하시기 바랍니다.
0113.jpg,아주 멋진 이성으로 부터 유혹을 받을 수 있는 날입니다.물론 싱글이라면야 문제 될 것이 없겠지만이미 사귀는 사람이 있다면 마음 단속을 잘해야 할 것입니다.또한 호감을 표시하는 이성의 마음이 진심인지 아닌지를 잘 판단해 봐야겠습니다. 이성에 대한 흑심으로 다가오는 것일 수 있기 때문입니다.
0114.jpg,그동안 쏠로로 지내던 당신이라도 오늘은 뜻하지 않게 이성을 만나게 되는 때입니다.괜찮은 조건의 사람을 만나기도 하는 날이니집에 있지 말고 밖에 나가서 새로운 사람을 만나보는 것은 어떨까요?그러나 현재 사귀는 이성이 있다면 다른 사람에게 눈길이 가는 날입니다. 마음단속을 잘 해야 할 때입니다.
0115.jpg,현재 만나고 있는 사람이 있다면 양에 차지도 않고 상대방 역시 당신과 맞지 않는단 생각을 하게 되는 날입니다.얼굴은 마주보고 있을지 몰라도 마음은 각자 다른 곳을 바라보고 있는 날이 될 수 있습니다.서로에게 사랑이 남아있는지 마음점검이 필요할 때입니다. 진심으로 상대방을 사랑하고 배려하는 마음을 갖는 것이 가장 중요한 부분일 것입니다.
0116.jpg,지금도 괜찮은 사람과 연애를 하고있으면서도자꾸 마음이 다른 사람에게로 가게 되는 날입니다.자기 사람에게는 소홀해 질 수 있는 날입니다.이럴때 일 수록 자신의 연인에게 꽃을 선물을 한다거나 마음을 전하여 다시 두 사람만의 사랑을 가꿔가시기 바랍니다.
