!!-- 정상적으로 모든 데이터가 로드되었습니다 --!!,	AllDataLoad,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\Frm.cs (622),	2021-07-03 오후 4:37:25
!!------ 서버 시작 ------!!,	OnLoad,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\Frm.cs (87),	2021-07-03 오후 4:37:25
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:39:31
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:39:31
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:39:35
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:39:35
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:39:59
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:39:59
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:40:22
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:40:22
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:40:30
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:40:30
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:40:40
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:40:40
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:40:43
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:40:43
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:40:53
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:40:53
[table Num : 3] protocol id GAME_COUNT_INPUT_REQ,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (179),	2021-07-03 오후 4:41:04
[table Num : 3] protocol id GAME_COUNT_INPUT_ACK,	SP_Server.UserState.IUserState.on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (714),	2021-07-03 오후 4:41:04
[table Num : 3] client Disconnected!!,	on_message,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2021-07-03 오후 4:41:17
!!!!------ Server Closing ------!!!,	frmClosing,	C:\Users\GAME\Documents\GitHub\Tokyolong\SP_Server\SP_Server\Frm.cs (314),	2021-07-03 오후 4:41:20
